SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-8-2018,Condo/Co-op,3132 Franklin St,San Francisco,CA,94123,1400000,2,1.0,Marina,1077,,1924,343,1300,250,Sold,,,http://www.redfin.com/CA/San-Francisco/3132-Franklin-St-94123/home/1097445,San Francisco MLS,469429,N,Y,37.8035351,-122.426452
PAST SALE,December-18-2017,Condo/Co-op,1540 Lombard St Unit D,San Francisco,CA,94123,1155000,2,1.0,Marina,848,,1947,515,1362,654,Sold,,,http://www.redfin.com/CA/San-Francisco/1540-Lombard-St-94123/unit-D/home/874222,San Francisco MLS,464774,N,Y,37.8012322,-122.4270061
PAST SALE,October-12-2017,Condo/Co-op,3010 Franklin St #1,San Francisco,CA,94123,975000,2,1.25,Marina,,,1922,582,,383,Sold,,,http://www.redfin.com/CA/San-Francisco/3010-Franklin-St-94123/unit-1/home/143818396,San Francisco MLS,462457,N,Y,37.8023368,-122.4262777
PAST SALE,October-19-2018,Condo/Co-op,3615 Buchanan St #205,San Francisco,CA,94123,1475000,2,2.0,Marina,1310,,1990,210,1126,581,Sold,,,http://www.redfin.com/CA/San-Francisco/3615-Buchanan-St-94123/unit-205/home/1434209,San Francisco MLS,475499,N,Y,37.8033938,-122.4336521
PAST SALE,March-21-2019,Condo/Co-op,2160 Pacific Ave #1,San Francisco,CA,94115,1550000,2,2.0,Pacific Heights,1520,,1922,57,1020,450,Sold,,,http://www.redfin.com/CA/San-Francisco/2160-Pacific-Ave-94115/unit-1/home/1162107,San Francisco MLS,480866,N,Y,37.7941153,-122.430861
PAST SALE,March-22-2019,Condo/Co-op,2019 Green St,San Francisco,CA,94123,1885000,2,2.0,Pacific Heights,,,1902,56,,694,Sold,,,http://www.redfin.com/CA/San-Francisco/2019-Green-St-94123/home/1048404,San Francisco MLS,481861,N,Y,37.7962149,-122.432591
PAST SALE,March-28-2019,Condo/Co-op,2920 Buchanan St #6,San Francisco,CA,94123,1632119,2,2.0,Cow Hollow,1250,,1964,50,1306,510,Sold,,,http://www.redfin.com/CA/San-Francisco/2920-Buchanan-St-94123/unit-6/home/2015590,San Francisco MLS,481678,N,Y,37.797112,-122.4317873
PAST SALE,April-9-2019,Condo/Co-op,1790 Vallejo St #2,San Francisco,CA,94123,2650000,2,2.0,Pacific Heights,2200,,1961,38,1205,973,Sold,,,http://www.redfin.com/CA/San-Francisco/1790-Vallejo-St-94123/unit-2/home/1048439,San Francisco MLS,480484,N,Y,37.796475,-122.4266949
PAST SALE,December-6-2018,Condo/Co-op,282 Pixley St,San Francisco,CA,94123,2000000,2,2.0,Cow Hollow,,,,162,,,Sold,,,http://www.redfin.com/CA/San-Francisco/282-Pixley-St-94123/home/1958712,San Francisco MLS,478646,N,Y,37.7984397,-122.4370474
PAST SALE,February-16-2018,Condo/Co-op,3569 Pierce,San Francisco,CA,94123,1650000,2,1.0,Marina,,,,455,,275,Sold,,,http://www.redfin.com/CA/San-Francisco/3569-Pierce-St-94123/unit-3569/home/1268361,San Francisco MLS,467390,N,Y,37.8035466,-122.4402877
PAST SALE,June-5-2018,Condo/Co-op,2368 Greenwich St,San Francisco,CA,94123,2512000,2,2.0,Cow Hollow,,,1938,346,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2368-Greenwich-St-94123/home/145369169,San Francisco MLS,469675,N,Y,37.798832,-122.438661
PAST SALE,,Condo/Co-op,2263 Francisco St,San Francisco,CA,94123,1700000,,,,,,1924,,,,,,,http://www.redfin.com/CA/San-Francisco/2263-Francisco-St-94123/home/2002337,,,N,Y,37.800868,-122.442378
PAST SALE,March-29-2019,Condo/Co-op,36 Rico Way,San Francisco,CA,94123,1575000,2,2.0,Marina,1574,,,49,1001,,Sold,,,http://www.redfin.com/CA/San-Francisco/36-Rico-Way-94123/home/147937892,San Francisco MLS,481609,N,Y,37.8049401,-122.4390061
PAST SALE,April-4-2019,Condo/Co-op,2912 Steiner St #6,San Francisco,CA,94123,960000,2,1.0,Cow Hollow,860,,1909,43,1116,634,Sold,,,http://www.redfin.com/CA/San-Francisco/2912-Steiner-St-94123/unit-6/home/148436731,San Francisco MLS,471798,N,Y,37.7962136,-122.436793
PAST SALE,October-16-2018,Condo/Co-op,2040 Franklin St #1205,San Francisco,CA,94109,1353000,2,2.0,Pacific Heights,1098,,1966,213,1232,949,Sold,,,http://www.redfin.com/CA/San-Francisco/2040-Franklin-St-94109/unit-1205/home/1135711,San Francisco MLS,476055,N,Y,37.7935189,-122.4243158
PAST SALE,January-31-2018,Condo/Co-op,1461 Broadway #406,San Francisco,CA,94109,1095000,2,2.0,Nob Hill,1075,,1981,471,1019,652,Sold,,,http://www.redfin.com/CA/San-Francisco/1461-Broadway-94109/unit-406/home/1451082,San Francisco MLS,461750,N,Y,37.7957072,-122.4212625
PAST SALE,August-16-2018,Condo/Co-op,1970 Sacramento St #301,San Francisco,CA,94109,1395000,2,1.0,Pacific Heights,1358,,1950,274,1027,550,Sold,,,http://www.redfin.com/CA/San-Francisco/1970-Sacramento-St-94109/unit-301/home/1348848,San Francisco MLS,472800,N,Y,37.7912131,-122.4252813
PAST SALE,September-14-2018,Condo/Co-op,1725 Washington St #14,San Francisco,CA,94109,1255000,2,2.0,Nob Hill,,,2006,245,,754,Sold,,,http://www.redfin.com/CA/San-Francisco/1725-Washington-St-94109/unit-14/home/12277394,San Francisco MLS,474293,N,Y,37.7929242,-122.4217294
PAST SALE,,Condo/Co-op,1788 Clay St #404,San Francisco,CA,94109,,,,,,,,,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1788-Clay-St-94109/unit-404/home/49670161,San Francisco MLS,,N,Y,37.7925699,-122.4222498
PAST SALE,August-4-2017,Condo/Co-op,1688 Pine St Unit EPH01,San Francisco,CA,94109,2300000,2,2.5,Van Ness/Civic Center,1425,,2016,651,1614,868,Sold,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-EPH01/home/109238849,San Francisco MLS,457649,N,Y,37.789553,-122.4232788
PAST SALE,January-17-2019,Condo/Co-op,1688 Pine St Unit E202,San Francisco,CA,94109,1175000,2,2.0,Van Ness/Civic Center,989,,2016,120,1188,755,Sold,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E202/home/110263316,San Francisco MLS,470606,N,Y,37.789553,-122.4232788
PAST SALE,January-29-2019,Condo/Co-op,1855 Sacramento St #8,San Francisco,CA,94109,1200000,2,1.5,Pacific Heights,1456,,1916,108,824,523,Sold,,,http://www.redfin.com/CA/San-Francisco/1855-Sacramento-St-94109/unit-8/home/1787859,San Francisco MLS,479430,N,Y,37.7909112,-122.4233743
PAST SALE,February-20-2019,Condo/Co-op,1461 Broadway #301,San Francisco,CA,94109,910000,2,2.0,Nob Hill,1050,,1981,86,867,650,Sold,,,http://www.redfin.com/CA/San-Francisco/1461-Broadway-94109/unit-301/home/961356,San Francisco MLS,476175,N,Y,37.7957072,-122.4212625
PAST SALE,February-20-2019,Condo/Co-op,1425 Vallejo St #205,San Francisco,CA,94109,1250000,2,2.0,Russian Hill,,,1982,86,,651,Sold,,,http://www.redfin.com/CA/San-Francisco/1425-Vallejo-St-94109/unit-205/home/22880510,San Francisco MLS,480223,N,Y,37.7967355,-122.4208266
PAST SALE,March-1-2019,Condo/Co-op,1688 Pine Unit W905,San Francisco,CA,94109,1388888,2,2.0,Pacific Heights,972,,2016,77,1429,754,Sold,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-W905/home/156892810,Bridge MLS,40851245,N,Y,37.7895446,-122.4234546
PAST SALE,March-5-2019,Condo/Co-op,2201 Sacramento #101,San Francisco,CA,94115,1541000,2,2.0,Pacific Heights,1265,,1928,73,1218,581,Sold,,,http://www.redfin.com/CA/San-Francisco/2201-Sacramento-St-94115/unit-101/home/568351,San Francisco MLS,480824,N,Y,37.790201,-122.429281
PAST SALE,March-18-2019,Condo/Co-op,1775 Broadway St #7,San Francisco,CA,94109,1550000,2,2.0,Pacific Heights,,,,60,,777,Sold,,,http://www.redfin.com/CA/San-Francisco/1775-Broadway-94109/unit-7/home/563636,San Francisco MLS,481595,N,Y,37.7951082,-122.426207
PAST SALE,May-2-2019,Condo/Co-op,2634 Octavia St #1,San Francisco,CA,94123,1243000,2,1.0,Pacific Heights,970,,1904,15,1281,270,Sold,,,http://www.redfin.com/CA/San-Francisco/2634-Octavia-St-94123/unit-1/home/1296195,San Francisco MLS,482961,N,Y,37.7966019,-122.4283859
PAST SALE,May-1-2019,Condo/Co-op,1940 Broadway Unit 1E,San Francisco,CA,94115,2225000,2,2.0,Pacific Heights,2000,,1923,16,1113,1508,Sold,,,http://www.redfin.com/CA/San-Francisco/1940-Broadway-94109/unit-001E/home/12400250,San Francisco MLS,481632,N,Y,37.7952688,-122.4291618
PAST SALE,September-21-2017,Condo/Co-op,733 Front St #701,San Francisco,CA,94111,3400000,2,2.5,Financial District,1578,,,603,2155,891,Sold,,,http://www.redfin.com/CA/San-Francisco/733-Front-St-94111/unit-701/home/21967056,San Francisco MLS,462992,N,Y,37.798027,-122.4000919
PAST SALE,April-26-2018,Condo/Co-op,690 Market St #2402,San Francisco,CA,94104,5950000,2,2.5,Financial District,3030,,2007,386,1964,3640,Sold,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-2402/home/21967096,San Francisco MLS,468297,N,Y,37.7882479,-122.4032322
PAST SALE,August-15-2017,Condo/Co-op,17 Wetmore St,San Francisco,CA,94108,1175000,2,2.0,Nob Hill,,,1908,640,,315,Sold,,,http://www.redfin.com/CA/San-Francisco/17-Wetmore-St-94108/home/113611511,San Francisco MLS,458000,N,Y,37.7934291,-122.4104085
PAST SALE,February-20-2019,Condo/Co-op,201 Folsom Unit 10b,San Francisco,CA,94105,1525000,2,2.0,South Beach,1189,,2016,86,1283,1179,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-10B/home/144064113,San Francisco MLS,479853,N,Y,37.7886997,-122.39226
PAST SALE,October-27-2017,Condo/Co-op,25 Sierra St #304,San Francisco,CA,94107,1500000,2,2.5,Potrero Hill,2047,,2006,567,733,763,Sold,,,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-304/home/12402350,San Francisco MLS,463430,N,Y,37.757917,-122.3954758
PAST SALE,,Condo/Co-op,451 Kansas St #390,San Francisco,CA,94107,1106000,2,2.0,,,,2007,,,,,,,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-390/home/12315035,,,N,Y,37.764113,-122.4029865
