SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-6-2019,Condo/Co-op,569 Ivy St,San Francisco,CA,94109,1355000,2,2.0,Hayes Valley,,,1890,11,,,Sold,,,http://www.redfin.com/CA/San-Francisco/569-Ivy-St-94102/home/145922695,San Francisco MLS,482600,N,Y,37.7766958,-122.4274607
PAST SALE,May-3-2019,Condo/Co-op,401 Harrison St Unit 14F,San Francisco,CA,94105,1850000,2,2.0,South Beach,1240,,2014,14,1492,1236,Sold,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-14F/home/144063884,San Francisco MLS,482406,N,Y,37.7863747,-122.3919931
PAST SALE,March-20-2019,Condo/Co-op,792 19th Ave,San Francisco,CA,94121,1300000,2,1.0,Central Richmond,1145,,1921,58,1135,350,Sold,,,http://www.redfin.com/CA/San-Francisco/792-19th-Ave-94121/home/110052296,San Francisco MLS,481454,N,Y,37.7731098,-122.4776341
PAST SALE,March-12-2019,Condo/Co-op,5530 California St,San Francisco,CA,94121,965000,2,1.0,Lake,1066,,,66,905,100,Sold,,,http://www.redfin.com/CA/San-Francisco/5530-California-St-94121/home/603771,San Francisco MLS,480913,N,Y,37.784491,-122.477071
PAST SALE,May-2-2019,Condo/Co-op,2001 McAllister St #218,San Francisco,CA,94118,1300000,2,2.0,North Panhandle,1063,,2002,15,1223,769,Sold,,,http://www.redfin.com/CA/San-Francisco/2001-McAllister-St-94118/unit-218/home/2022934,San Francisco MLS,482631,N,Y,37.7763812,-122.4456902
PAST SALE,October-11-2018,Condo/Co-op,865 Corbett Ave #7,SAN FRANCISCO,CA,94131,800000,2,1.0,SAN FRANCISCO,857,6046,1973,218,933,350,Sold,,,http://www.redfin.com/CA/San-Francisco/865-Corbett-Ave-94131/unit-7/home/147585175,MLSListings,ML81717373,N,Y,37.752983,-122.443369
PAST SALE,September-14-2017,Condo/Co-op,557 Fillmore St #4,San Francisco,CA,94117,1020000,2,2.0,Alamo Square,1000,3000,1900,610,1020,446,Sold,,,http://www.redfin.com/CA/San-Francisco/557-Fillmore-St-94117/unit-4/home/1999361,San Francisco MLS,461041,N,Y,37.7745713,-122.4311747
PAST SALE,April-8-2019,Condo/Co-op,8 Landers St #204,San Francisco,CA,94114,1602000,2,2.5,Mission Dolores,1199,,2006,39,1336,451,Sold,,,http://www.redfin.com/CA/San-Francisco/8-Landers-St-94114/unit-204/home/12402300,San Francisco MLS,482017,N,Y,37.7675476,-122.4280323
PAST SALE,May-10-2019,Condo/Co-op,3365 20th St #5,San Francisco,CA,94110,1515000,2,2.0,Inner Mission,1269,,2002,7,1194,451,Sold,,,http://www.redfin.com/CA/San-Francisco/3365-20th-St-94110/unit-5/home/12399027,San Francisco MLS,484798,N,Y,37.7586323,-122.4161261
PAST SALE,August-16-2018,Condo/Co-op,506 Fell St Unit B,San Francisco,CA,94102,1400000,2,2.0,Hayes Valley,1215,,1991,274,1152,405,Sold,,,http://www.redfin.com/CA/San-Francisco/506-Fell-St-94102/unit-B/home/1974479,San Francisco MLS,474115,N,Y,37.7756452,-122.4263525
